id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords,_link-dfkv,_iiif-link,_journal-name
ILLU_14982_428_0,,,,,,1473,,1927,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14982,https://gallica.bnf.fr/ark:/12148/bpt6k42262130/canvas/f428,L'Amour de l'art
ILLU_11353_257_0,,,,,,1336,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11353,https://digi.ub.uni-heidelberg.de/diglit/cicerone1925/281,Der Cicerone
ILLU_10645_306_0,,,,,,1438,,1903,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10645,https://digi.ub.uni-heidelberg.de/diglit/kk1902_1903/315,Kunst und Künstler
ILLU_16301_164_1,,,,,,1302,,1949,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/16301,https://gallica.bnf.fr/ark:/12148/bpt6k4226334h/canvas/f164,Cahiers d'art
ILLU_15501_8_2,,,,,,1504,,1894,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15501,https://gallica.bnf.fr/ark:/12148/bpt6k6224452k/canvas/f8,Le Monde illustré
ILLU_15678_39_0,,,,,,1479,,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15678,https://gallica.bnf.fr/ark:/12148/bpt6k6100847m/f39,L'Art et les artistes
ILLU_12321_133_1,,,,,,1336,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12321,https://digi.ub.uni-heidelberg.de/diglit/cicerone1925/157,Der Cicerone
ILLU_11410_754_2,,,,,,1336,,1924,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11410,https://digi.ub.uni-heidelberg.de/diglit/cicerone1924/786,Der Cicerone
ILLU_14286_206_1,,,,,,1302,,1928,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14286,https://gallica.bnf.fr/ark:/12148/bpt6k9795256m/canvas/f206,Cahiers d'art
ILLU_10350_386_0,,,,,,1438,,1912,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/10350,https://digi.ub.uni-heidelberg.de/diglit/kk1912/404,Kunst und Künstler
ILLU_15031_9_0,,,,,,1488,,1920,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15031,https://gallica.bnf.fr/ark:/12148/bpt6k6111050x/canvas/f9,Le Bulletin de la vie artistique (1919-1926)
ILLU_13406_119_0,,,,,,1351,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13406,https://digi.ub.uni-heidelberg.de/diglit/dkd1932/129,Deutsche Kunst und Dekoration
ILLU_14318_317_1,,,,,,1302,,1932,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14318,https://gallica.bnf.fr/ark:/12148/bpt6k9796461x/canvas/f317,Cahiers d'art
ILLU_11456_353_0,,,,,,1368,,1930,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11456,https://digi.ub.uni-heidelberg.de/diglit/kfa1929_1930/388,Die Kunst für Alle
ILLU_11353_257_2,,,,,,1336,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11353,https://digi.ub.uni-heidelberg.de/diglit/cicerone1925/281,Der Cicerone
ILLU_11344_826_0,,,,,,1336,,1922,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/11344,https://digi.ub.uni-heidelberg.de/diglit/cicerone1922/848,Der Cicerone
ILLU_15314_229_1,,,,,,1476,,1883,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/15314,https://gallica.bnf.fr/ark:/12148/bpt6k10558122/f229,L'Art
ILLU_13284_216_0,,,,,,1351,,1920,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/13284,https://digi.ub.uni-heidelberg.de/diglit/dkd1920/232,Deutsche Kunst und Dekoration
ILLU_14966_62_0,,,,,,1473,,1924,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/14966,https://gallica.bnf.fr/ark:/12148/bpt6k4226339k/f62,L'Amour de l'art
ILLU_12321_133_3,,,,,,1336,,1925,Reproduction,https://dfkv.dfkg.org/ng/index.html#/records/12321,https://digi.ub.uni-heidelberg.de/diglit/cicerone1925/157,Der Cicerone
