id,title,author,link,technique,dimensions,date
ILLU_11379_93_0,Young Woman in Oriental Garb,Édouard Manet,,Oil on canvas , 95.5 x 74.5cm , 1871
ILLU_11387_383_1,Seated Odalisque,Henri Matisse,,,,1928
ILLU_11388_397_0,Hillside in Provence,Paul Cézanne,https://www.nationalgallery.org.uk/paintings/paul-cezanne-hillside-in-provence,Oil on canvas , 63.5 x 79.4cm , c. 1890-2
ILLU_11389_622_1,"Painting of an interior at rue Carcel (Carcel Street), Paris",Paul Gauguin,"https://commons.wikimedia.org/wiki/File:Paul_Gauguin,_Interieur_du_peintre_Paris,_rue_Carcel_(1881)_-_01.jpg",Oil on canvas , 130 x 162cm , 1881
ILLU_11400_638_1,Arlésiennes (Mistral),Paul Gauguin,,Oil on jute canvas , 73 x 92cm , 1888
ILLU_11402_779_0,Odalisque with Slave,Jean-Auguste-Dominique Ingres,https://commons.wikimedia.org/wiki/File:Jean-Paul_Flandrin_-_Odalisque_with_Slave_-_Walters_37887.jpg,Oil on canvas , 76 x 105cm , 1842
ILLU_11402_783_0,"La baigneuse, dite Baigneuse Valpinçon",Jean-Auguste-Dominique Ingres,https://donate.louvre.fr/particuliers/~mon-don,Huile sur toile , 1.46 x 0.97m , 1808
ILLU_11412_1003_2,Still Life with Vegetables,Henri Matisse,https://www.metmuseum.org/art/collection/search/489991,Oil on canvas , 38.4 x 46cm , c. 1905
ILLU_11412_1003_3,Domino Players,Henri Matisse,,,,1921
ILLU_11412_1008_0,Nude,Henri Matisse,,,,1920
ILLU_11426_368_0,Clair de lune sur le port de Boulogne,Édouard Manet,https://fr.wikipedia.org/wiki/Clair_de_lune_sur_le_port_de_Boulogne,Huile sur toile , 82 x 101cm , 1869
ILLU_11426_373_0,Le Défilé,Edgar Degas,https://commons.wikimedia.org/wiki/File:Edgar_Germain_Hilaire_Degas_040.jpg?uselang=fr,Mixed media canvas , 46 x 61cm , 1866-1868
ILLU_11426_374_1,"La Maison du pendu, Auvers-sur-Oise",Paul Cézanne,https://commons.wikimedia.org/wiki/File:La_Maison_du_pendu_Auvers-sur-Oise_-_Paul_C%C3%A9zanne.jpg,Huile sur toile , 55.5 x 66.3cm , 1873
ILLU_11432_236_1,Circus Sideshow (Parade de cirque),Georges Seurat,https://www.metmuseum.org/art/collection/search/437654,Oil on canvas , 99.7 x 149.9cm , 1887-88
ILLU_11457_139_0,A February Morning at Moret sur Loing,Alfred Sisley,,Oil on canvas , 50 x 65cm , 1881
ILLU_11458_228_0,Jeunes filles au piano,Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Renoir_jeunes_filles_au_piano_vers_1892.jpg?uselang=fr,,116 x 81cm , 1892
ILLU_11458_230_0,Portrait of Jeanne Hébuterne,Amedeo Modigliani,https://commons.wikimedia.org/wiki/File:Amedeo_Modigliani_-_Portrait_of_Jeanne_H%C3%A9buterne_-_Google_Art_Project.jpg,Oil on canvas , 923 x 545mm , 1919
