journal_id;level;keyword;;;;
;1.3.4.2.1.23 ;Paris : Salon de l'Araignee- 1927;;;;
;1.3.4.2.1.24 ;Paris : Salon des Deeerateurs- 1930;;;;
;1.3.4.2.1.25 ;Paris : XVIlle Salon des anistes decorateurs- 1928;;;;
9656;1.3.4.2.2 ;In Deutschland;;;;
;1.3.4.2.2.1 ;Augsburg: Kunstverein : Exposition San morave- 1909;;;;
;1.3.4.2.2.2 ;Baden-Baden : Exposition retrospective- 1902;;;;
;1.3.4.2.2.3 ;Baden-Baden : Exposition d'oeuvres modernes. 1902;;;;
;1.3.4.2.2.4 ;Berlin Exposition d'objcts d'an du Moyen Age et dc la Renaissance. 1898 ;;;;
;1.3.4.2.2.5 ;Berlin : Akademische Kunstausstellung (Künstlerhaus);;;;
;1.3.4.2.2.6 ;Berlin : Verein Berliner Künstler;;;;
;1.3.4.2.2.7 ;Berlin : Salon;;;;
;1.3.4.2.2.8 ;Berlin : Secession (ab 1899);;;;
;1.3.4.2.2 8.1 ;Retrospective Liebermann (60 ans de l'anistc);;;;
;1.3.4.2.2.8.2 ;"Exposition de ""blanc et noir""- 1912";;;;
;1.3.4.2.2.9 ;Berlin : Neue Secession;;;;
;1.3.4.2.2.10 ;Berlin Internationale Kunstausstellung. 1891;;;;
;1.3.4.2.2.11 ;Berlin : Internationale Kunstausstellung. 1896;;;;
;1.3.4.2.2.12 ;Berlin : Academie royale des beaux-arts;;;;
;1.3.4.2.2.12.1 ;1910: Exposition des anistes francais du XVllle siede;;;;
;1.3.4.2.2.13 ;Berlin : Jahrhundertausstellung dt. Kunst- 1906;;;;
;1.3.4.2.2.14 ;Breslau : Werkbund Ausstellung- 1929;;;;
;1.3.4.2.2.15 ;Breslau : Exposition du ccntenaire- 1913-1914;;;;
;1.3.4.2.2.16 ;Darmstadt : Ausstellung der Künstlerkolonie;;;;
;1.3.4.2.2.17 ;Darmstadt : Exposition d'art libre et applique- 1908;;;;
;1.3.4.2.2 18 ;Darmstadt : Ausstellung der Darrnstadter Sezession- 1920;;;;
;1.3.4.2.2.19 ;Dresden : Kunstverein;;;;
;1.3.4.2.2.20 ;Dresden : Exposition- 1904;;;;
;1.3.4.2.2.21 ;Düsseldorf : Für Westfalen und Rheinland. 1902;;;;
;1.3.4.2.2.22 ;Düsseldorf : Exposition des Beaux-Arts. 1902;;;;
;1.3.4.2.2.23 ;Düsseldorf: Exposition des Primitifs allcrnands- 1904;;;;
;1.3.4.2.2.24 ;Düsseldorf Exposition internationale- 1904;;;;
;1.3.4.2.2.25 ;Düsseldorf Exposition d'an chrttien- 1909;;;;
;1.3.4.2.2.26 ;Düsseldorf : Das jungt Rheinland- 1922;;;;
;1.3.4.2.2.27 ;Düsseldorf : Exposition internationale- 1922;;;;
;1.3.4.2.2.28 ;Frankfort am Main Kunstverein : La pcinture classique de France au XIXe siecle dc Dclacroix ä van Gogh- 1912;;;;
;1.3.4.2.2.29 ;Frankfurt am Main : Kunstverein : Hodler. 1911-1912;;;;
;1.3.4.2.2.30 ;Hambourg : exposition des peintres du Schleswig-Holstein. 1914;;;;
;1.3.4.2.2.31 ;Karlsruhe : Exposition des beaux-ans- 1902;;;;
;1.3.4.2.2.32 ;Köln : Kunstausstellung. 1907-1908;;;;
;1.3.4.2.2.33 ;Koln : Kunstverein;;;;
