id,_descrpiton,_artist,_material,_dimensions,_date-artwork,year,keywords
ILLU_10464_125_0,Te Arii Vahine (The Queen. The King's Wife),Paul Gauguin,oil on canvas,97.00x130.00cm,1896.0,1907,Reproduction
ILLU_10464_162_0,Two Tahitian Women,Paul Gauguin,oil on canvas,94.00x72.40cm,1899.0,1907,Reproduction
ILLU_10466_421_0,Pont de Maincy,Paul Cézanne,,,1873.0,1908,Reproduction
ILLU_10479_241_0,Madame Michel-Lévy,Edouard Manet,pastel on canvas,74.20x51.00cm,1882.0,1910,Reproduction
ILLU_10479_242_0,Portrait of Henri Rochefort,Édouard Manet,oil on canvas,81.50x66.50cm,1881.0,1910,Reproduction
ILLU_10480_271_0,Bridge,Pierre Bonnard,lithograph,40.90x53.30cm,1899.0,1910,Reproduction
ILLU_10481_292_0,The Dance,Jean-Antoine Watteau,oil on canvas,97.00x116.00cm,1719.0,1910,Reproduction
ILLU_10481_300_0,The Draughtsman,Jean-Baptiste-Siméon Chardin,oil on canvas,81.00x64.00cm,1737.0,1910,Reproduction
ILLU_10487_104_0,Polynesian Woman with Children,Paul Gauguin,oil on linen canvas,97.00x74.00cm,1901.0,1910,Reproduction
ILLU_10560_353_0,"Emma and Mouche, the dog",Anders Zorn,oil on canvas,,1902.0,1909,Reproduction
ILLU_10652_144_0,After the Bath,Edgar Degas,pastel,,1883.0,1907,Reproduction
ILLU_10654_145_1,The Monet Family in Their Garden at Argenteuil,Edouard Manet,oil on canvas,61.00x99.70cm,1874.0,1911,Reproduction
ILLU_10655_617_0,Music in the Tuileries Gardens,Edouard Manet,oil on canvas,76.20x118.10cm,1862.0,1911,Reproduction
ILLU_10663_93_0,Still Life with Bread and Eggs,Paul Cézanne,oil on canvas,59.00x76.00cm,1865.0,1906,Reproduction
ILLU_10664_350_0,The Moret Bridge at Sunset,Alfred Sisley,oil on canvas,60.00x73.00cm,1892.0,1910,Reproduction
ILLU_10670_181_0,The Dancer,Auguste Renoir,oil on canvas,142.50x94.50cm,1874.0,1903,Reproduction
ILLU_10670_188_0,Singer in Green,Edgar Degas,pastel on paper,58.40x45.70cm,1884.0,1903,Reproduction
ILLU_10670_206_0,The Print Collector,Honoré-Victorin Daumier,oil on cradled panel,20.32x33.02cm,1857.0,1903,Reproduction
ILLU_10677_64_0,Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,oil on canvas,165.10x127.60cm,1862.0,1899,Reproduction
ILLU_10709_97_0,The House of Père Eloi,Vincent van Gogh,oil on canvas,51.00x58.00cm,1890.0,1909,Reproduction
ILLU_10725_396_0,The Banks of the Seine at Argenteuil,Édouard Manet,oil on canvas,63.20x103.00cm,1874.0,1910,Reproduction
ILLU_10754_263_0,At the Opera: Madame Caron in Faust,Henri de Toulouse-Lautrec,"lithograph, 16/100",36.20x26.40cm,1894.0,1907,Reproduction
ILLU_10933_88_0,Still Life with Apples,Paul Cézanne,oil on canvas,65.40x81.60cm,1893.0,1912,Reproduction
ILLU_10939_99_0,Champ de blé avec cyprès,Vincent van Gogh,oil on canvas,72.10x90.90cm,1889.0,1913,Reproduction
ILLU_10945_332_0,Claude Monet painting in his studio,Édouard Manet,oil on canvas,80.00x98.00cm,1874.0,1914,Reproduction
ILLU_10955_69_0,Portrait&nbsp;of&nbsp;the couple&nbsp;Sisley,Auguste Renoir,oil on canvas,75.00x105.00cm,1868.0,1916,Reproduction
ILLU_10962_306_0,Esterházykeller in Vienna,Adolph of Menzel,oil on canvas,22.00x28.50cm,1871.0,1918,Reproduction
