ID,link
ILLU_13339_107_0,http://www.artnet.fr/artists/edgar-ende/3
ILLU_13342_415_0,http://www.artnet.fr/artistes/karl-hofer/
ILLU_13350_370_0,http://www.artnet.fr/artistes/barthel-gilles/
ILLU_13383_208_1,http://www.artnet.fr/artistes/marcello-nizzoli/campari-laperitivo-lloNWt4oewh2WhGzJUx5_Q2
ILLU_13393_228_0,https://commons.wikimedia.org/wiki/File:Jules_Pascin_-_Bildnis_Maria_Lani.jpg
ILLU_13393_228_1,http://www.artnet.fr/artistes/chaim-soutine/portrait-de-maria-lani-vXNCgKtmjOXp6UJ9mspvSQ2
ILLU_13393_228_1,http://www.artnet.fr/artists/cha%C3%AFm-soutine/15
ILLU_13393_233_0,https://commons.wikimedia.org/wiki/File:Charles_Despiau_-_B%C3%BCste_Maria_Lani.jpg
ILLU_13393_246_0,https://commons.wikimedia.org/wiki/File:Grete_Neuwalder-Wien_-_M%C3%A4dchenkopf._Ton.jpg
ILLU_13393_246_0,https://commons.wikimedia.org/wiki/Category:Grete_Neuwalder
ILLU_13393_246_0,https://commons.wikimedia.org/wiki/File:Grete_Neuwalder-Wien_-_M%C3%A4dchenkopf._Bemalter_Ton.jpg
ILLU_13393_246_0,https://commons.wikimedia.org/wiki/Category:Grete_Neuwalder?uselang=de
ILLU_13406_119_0,http://www.artnet.fr/artistes/elie-lascaux/
ILLU_14254_186_3,http://www.artnet.fr/artistes/paul-klee/50
ILLU_14256_202_2,https://commons.wikimedia.org/wiki/File:Alexej_Jawlensky_-_L%C3%A4nglicher_Kopf_in_Braunrot.jpg
ILLU_14256_204_0,"https://commons.wikimedia.org/wiki/File:Abstract_Head--Autumn_and_Dying_by_Alexei_Jawlensky,_1923.jpg"
ILLU_14268_18_1,https://commons.wikimedia.org/wiki/File:Max_Slevogt_Prinzregent_Luitpold.jpg
ILLU_14280_173_0,https://commons.wikimedia.org/wiki/File:Hans_Burgkmair_d._%C5%BD._-_Madonna_with_Grape_-_WGA03698.jpg
ILLU_14280_179_0,http://www.artnet.fr/artistes/hans-burgkmair-the-elder/
ILLU_14292_40_0,https://commons.wikimedia.org/wiki/File:Lucia_MET_DP111651.jpg
ILLU_14297_333_1,"https://commons.wikimedia.org/wiki/File:Kandinsky_-_Veiled_Glow,_1928.jpg"
ILLU_14302_111_1,http://www.artnet.fr/artistes/walter-gropius/dammerstock-vue-des-chambres-principales-5c9w5qlrhDPKRWW4KlgLmA2
ILLU_14302_111_1,http://www.artnet.fr/artistes/walter-gropius/
ILLU_14302_111_3,http://www.artnet.fr/artistes/walter-gropius/dammerstock-vue-des-chambres-principales-5c9w5qlrhDPKRWW4KlgLmA2
ILLU_14318_315_2,http://www.artnet.fr/artists/raoul-hausmann/9
ILLU_14318_315_2,http://www.artnet.fr/artists/raoul-hausmann/8
ILLU_14318_317_3,http://www.artnet.fr/artistes/raoul-hausmann/der-dada-72mUw0Hj0OmQzNhSXI34dg2
ILLU_14319_402_1,http://www.artnet.fr/artistes/max-ernst/le-poisson-et-le-vapeur-Wy6gyRa7Ux_o2L5rRBcxmA2
ILLU_14322_137_1,https://commons.wikimedia.org/wiki/File:Hans_Burgkmair_d._%C5%BD._-_Madonna_with_Grape_-_WGA03698.jpg
ILLU_14326_478_0,http://www.artnet.fr/artistes/charles-loupot/valentine-ahMZQK7BJnR0snZxyzbTSQ2
ILLU_14353_693_2,https://commons.wikimedia.org/wiki/File:Anselm_Feuerbach_-_Dante_und_die_edlen_Frauen_von_Ravenna_-_551_-_Staatliche_Kunsthalle_Karlsruhe.jpg
ILLU_14353_693_3,https://commons.wikimedia.org/wiki/File:Anselm_Feuerbach_-_Dante_und_die_edlen_Frauen_von_Ravenna_-_551_-_Staatliche_Kunsthalle_Karlsruhe.jpg
ILLU_14374_65_6,"https://commons.wikimedia.org/wiki/File:Daumier_-_Les_amateurs_d%27estampes,_1865.jpg"
ILLU_14410_184_0,https://commons.wikimedia.org/wiki/Category:Emma_Ciardi
ILLU_14952_62_2,"https://commons.wikimedia.org/wiki/File:Georges_Kars,_Zamy%C5%A1len%C3%BD_akt,_1920.jpg"
ILLU_14957_195_5,https://commons.wikimedia.org/wiki/File:Egger-Lienz_-_%E2%80%9EDie_Familie%E2%80%9C_oder_%E2%80%9EDer_Bauer%E2%80%9C.jpeg
ILLU_14957_197_0,https://commons.wikimedia.org/wiki/File:Children_Playing_in_a_Meadow.PNG
ILLU_14980_251_0,"https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_%27Un_Clos%27_(%27A_Close%27),_c._1890.JPG"
ILLU_14982_436_0,https://commons.wikimedia.org/wiki/File:Bernardo_Cavallino_-_The_Ecstasy_of_St_Cecilia_-_WGA4597.jpg
ILLU_14987_375_0,http://www.artnet.fr/artistes/oskar-kokoschka/portr%C3%A4t-adolf-loos-19-others-20-works-EEBDp5yDiqSSJFjNa0Xupg2
ILLU_14988_74_0,http://www.artnet.fr/artists/conrad-felixm%C3%BCller/
ILLU_14988_74_0,http://www.artnet.fr/artists/conrad-felixm%C3%BCller/2
ILLU_14988_74_0,http://www.artnet.fr/artistes/conrad-felixm%C3%BCller/bildnis-max-liebermann-6n9wMlVwrZAAlsFTv3Ir_g2
