id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords
ILLU_14257_293_1,The Kiss,Max Ernst,,oil on canvas,129.00x161.20cm,1302,1927.0,1933,Reproduction
ILLU_14268_20_0,The Promenade,Pierre-Auguste Renoir,https://www.getty.edu/art/collection/objects/823/pierre-auguste-renoir-the-promenade-french-1870/,oil on canvas,81.30x64.80cm,1527,1870.0,1930,Reproduction
ILLU_14275_400_0,Still Life: The Table,Georges Braque,https://www.nga.gov/collection/art-object-page.46567.html,oil on canvas,81.30x130.80cm,1389,1928.0,1929,Reproduction
ILLU_14317_183_0,The sculpture,Pablo Picasso,,,,1302,1925.0,1932,Reproduction
ILLU_14319_404_0,Pleiades,Max Ernst,,collage on paper,25.00x18.00cm,1302,1920.0,1932,Reproduction
ILLU_14351_140_2,Odalisque,Henri Matisse,,,,1484,1918.0,1929,Reproduction
ILLU_14369_168_0,The Seated Zouave,Vincent van Gogh,"https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Der_Zuave,_sitzend.jpeg",oil on canvas,81.00x65.00cm,1484,1888.0,1930,Reproduction
ILLU_14374_65_8,The Blue House,Marc Chagall,,oil on canvas,66.00x96.80cm,1302,1917.0,1929,Reproduction
ILLU_14377_351_3,Woman with Umbrella,Georges Seurat,,oil on canvas,,1302,1884.0,1928,Reproduction
ILLU_14405_32_0,Gelmeroda IX,Lyonel Feininger,,,,1302,1926.0,1938,Reproduction
ILLU_14458_224_0,l'Enseigne de Gersaint,Jean-Antoine Watteau,https://en.wikipedia.org/wiki/L'Enseigne_de_Gersaint,painting,,1463,1720.0,1910,Reproduction
ILLU_14552_225_0,The Promenader,Henry Wolf,https://americanart.si.edu/artwork/promenader-40851,photomechanical wood engraving on paper,12.80x18.90cm,1463,1890.0,1905,Reproduction
ILLU_14943_417_3,Adoration of the shepherds,Hugo van der Goes,https://commons.wikimedia.org/wiki/File:Hugo_van_der_Goes_-_The_Adoration_of_the_Shepherds_-_Google_Art_Project.jpg,oil on oak wood,97.00x245.00cm,1484,1480.0,1927,Reproduction
ILLU_14967_143_0,Portrait of sara andriesdr hessix,Frans Hals,https://commons.wikimedia.org/wiki/File:Portrait_of_Sara_Andriesdr_Hessix_by_Frans_Hals.jpg,oil painting,87.00x70.00cm,1473,1626.0,1924,Reproduction
ILLU_14977_295_0,Still life with commode,Paul Cézanne,,,,1473,1883.0,1926,Reproduction
ILLU_14977_297_0,"View of Arles, Flowering Orchards",Vincent van Gogh,"https://en.wikipedia.org/wiki/View_of_Arles,_Flowering_Orchards",oil on canvas,72.00x92.00cm,1473,1889.0,1926,Reproduction
ILLU_14978_333_2,Young Girl Reading,Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Pierre-Auguste_Renoir_-_Jeune_Fille_lisant.jpg,oil on canvas,55.50x46.50cm,1473,1886.0,1926,Reproduction
ILLU_15031_10_1,Peasant Interior with an Old Flute Player,Le Nain,,oil on canvas,54.10x62.10cm,1488,1642.0,1920,Reproduction
ILLU_15035_13_0,Portrait de Théodore Duret,Edouard Manet,https://parismuseescollections.paris.fr/node/226850,"oil paint, canvas (material)",46.50x35.50cm,1488,1868.0,1920,Reproduction
ILLU_15039_12_2,Herman Langelius,Frans Hals,,,76.00x63.50cm,1488,1660.0,1920,Reproduction
ILLU_15190_170_1,Portrait of Margareta van Eyck,Jan van Eyck,https://en.wikipedia.org/wiki/Portrait_of_Margaret_van_Eyck,oil on panel,32.60x25.80cm,1484,1439.0,1927,Reproduction
ILLU_15299_195_0,The chandelier females,Albrecht Dürer,,,,1476,1513.0,1878,Reproduction
