ID,Volume_ID,_journal-id,liens iiif,liens de citation (page),liens de citation (volume),bibliographie
11107,2157,1323.0,,,,"10.1926.4, S. 170"
11106,2158,1323.0,,,,"10.1926.4, S. 171"
11109,2159,1323.0,,,,"10.1926.6, S. 209-215"
11110,2160,1323.0,,,,"10.1926.6, S. 227"
11111,2161,1323.0,,,,"10.1926.6, S. 227-231"
11112,2162,1323.0,,,,"10.1926.7, S. 262-268"
11115,2163,1323.0,,,,"10.1926.8, S. 351"
12701,2164,1339.0,,,,"10.1930.1, S. 422"
12005,2165,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0010.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0010,,"10.1936.1, S. 2"
12006,2166,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0050.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0050,,"10.1936.10, S. 2"
11897,2167,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0060.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0060,,"10.1936.12, S. 4"
12007,2168,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0078.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0078,,"10.1936.16, S. 2"
12008,2169,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0116.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0116,,"10.1936.27/28, S. 2"
12009,2169,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0116.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0116,,"10.1936.27/28, S. 2"
12300,2170,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0174.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0174,,"10.1936.44, S. 4"
12010,2171,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0175.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0175,,"10.1936.45, S. 1"
11893,2172,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0028.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0028,,"10.1936.5, S. 2"
11894,2173,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0040.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0040,,"10.1936.7, S. 4"
11895,2173,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0040.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0040,,"10.1936.7, S. 4"
11896,2174,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1936/canvas/0048.json,https://digi.ub.uni-heidelberg.de/diglit/wk1936/0048,,"10.1936.9, S. 4"
11866,2175,1572.0,,,,"10.1937, S. 278-282"
12257,2176,1579.0,,,,"10.1938, S. 336-350"
12267,2177,1560.0,,,,"10.1939.107, S. 120-136"
16359,2178,1285.0,,,,"10.1948.184, p. 2"
16443,2179,1285.0,,,,"10.1949.232, p. 6"
16462,2180,1285.0,,,,"10.1950.280, p. 3"
16463,2181,1285.0,,,,"10.1950.281, p. 2"
16464,2182,1285.0,,,,"10.1950.281, p. 5"
16552,2183,1285.0,,,,"10.1951.327, p. 3"
16553,2184,1285.0,,,,"10.1951.327, p. 5"
16554,2185,1285.0,,,,"10.1951.329, p. 1, p. 5"
16562,2186,1285.0,,,,"10.1952.379, p. 7"
16661,2187,1389.0,,x,,"10.1955.10, p. 1325-1331"
16668,2188,1389.0,,x,,"10.1955.11-12, p. 1407-1420"
16660,2189,1389.0,,x,,"10.1955.11-12, p. 1542"
16832,2190,1465.0,,,,"10.1960.I, S. 33-36"
16833,2191,1465.0,,,,"10.1960.VI, S. 279-288"
14879,2192,1550.0,,x,,"102.1913.378, S. 417-420"
14880,2193,1550.0,,x,,"102.1913.379, S. 644"
15877,2194,1496.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k295187n/canvas/f1,https://gallica.bnf.fr/ark:/12148/bpt6k295187n/f1.image,,"102e année, p.2"
15878,2195,1496.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k295190b/canvas/f1,https://gallica.bnf.fr/ark:/12148/bpt6k295190b/f1.image,,"102e année, p.3"
15879,2196,1496.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k295190b/canvas/f1,https://gallica.bnf.fr/ark:/12148/bpt6k295190b/f1.image,,"102e année, p.4"
14881,2197,1550.0,,x,,"103.1913.381, S. 199"
14882,2198,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201726s/canvas/f194,https://gallica.bnf.fr/ark:/12148/bpt6k201726s/f194.item,,"104.1913.385, S. 186-188"
14883,2199,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201726s/canvas/f202,https://gallica.bnf.fr/ark:/12148/bpt6k201726s/f202.item,,"104.1913.385, S. 194"
14884,2200,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201728j/canvas/f204,https://gallica.bnf.fr/ark:/12148/bpt6k201728j/f204.item,,"104.1913.387, S. 646"
14885,2201,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2017330/canvas/f195,https://gallica.bnf.fr/ark:/12148/bpt6k2017330/f195.item,,"105.1913.392, S. 841-844"
14683,2202,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k83954r?rk=128756;0,106
14886,2203,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201741k/canvas/f11,https://gallica.bnf.fr/ark:/12148/bpt6k201741k/f11.item,,"107.1914.400, S. 673-681"
14887,2204,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201741k/canvas/f20,https://gallica.bnf.fr/ark:/12148/bpt6k201741k/f20.item,,"107.1914.400, S. 682-700"
14582,2205,1568.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k36016d?rk=85837;2,109.1897
15491,2206,1545.0,,,,11
14534,2207,1449.0,,,,11 (?)
10186,2209,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0109.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0109,,"11.11900.13, Sp. 202"
10330,2210,1630.0,,,,"11.1876, S. 183-188; S. 209-213"
10329,2211,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1876/canvas/0165.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1876/0165,,"11.1876, Sp. 318-322"
10616,2212,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1876/canvas/0099.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1876/0099,,"11.1876.12, Sp. 185-187"
10546,2213,1368.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1895_1896/canvas/0353.json,https://digi.ub.uni-heidelberg.de/diglit/kfa1895_1896/0353,,"11.1895/96.18, S. 277-280"
10393,2214,1368.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1895_1896/canvas/0169.json,https://digi.ub.uni-heidelberg.de/diglit/kfa1895_1896/0169,,"11.1895/96.9, S. 130-132"
10191,2215,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0101.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0101,,"11.1900.12, Sp. 185"
10199,2216,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0119.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0119,,"11.1900.14, Sp. 221"
10192,2217,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1900/canvas/0124.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1900/0124,,"11.1900.15, Sp. 231-232"
